"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.172775331684014,0.170732699383977,0.164003295656769,50000,0.95,0.104060340205614,0.247304943377373,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.466060017671621,0.465972144731521,0.464466794880578,50000,0.95,0.435222887856684,0.496811858465461,NA,NA,NA,NA,NA,NA,NA
"theta[3]",0.954352242860041,0.954923757881713,0.956227740613185,50000,0.95,0.935953264339553,0.971926274032345,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",-0.293284685987607,-0.295231876941426,-0.298960994887296,49899.6,0.95,-0.369571128085369,-0.212708658459454,0,0,NA,NA,NA,NA,NA
"theta[1]-theta[3]",-0.781576911176028,-0.783523724978664,-0.785484019730054,50000,0.95,-0.852806549892176,-0.705661166317803,0,0,NA,NA,NA,NA,NA
"theta[2]-theta[3]",-0.48829222518842,-0.488510477862395,-0.488330146806502,50887.3,0.95,-0.524628508019264,-0.452821709868691,0,0,NA,NA,NA,NA,NA
