+----------+-----------------+---------------+-----------------+----------+----------+------------+-----------+-----------------------+---------------------------+--------------------+--------------------+----------------------+---------------------+---------------------------------+--------------------------------+---------------------------------------------+
| PlayerID | PlayerTrueName  | PlayerTeams   | SimplePlusMinus | SimplePF | SimplePA | SimplePoss | SimpleMin | SimplePlusMinusPer200 | WeightedPlusMinusOffCourt | WeightedPFOffCourt | WeightedPAOffCourt | WeightedPossOffCourt | WeightedMinOffCourt | WeightedPlusMinusPer200OffCourt | WeightedPlusMinusPer200OnCourt | WeightedPlusMinusPer200OnCourtMinusOffCourt |
|       28 | B. Bowen        | SAN           |             363 |     5455 |     5092 |      10500 |   2754.05 |               6.91429 |                       194 |               2380 |               2186 |                 4767 |             1205.80 |                          8.1393 |                         6.9143 |                                      -1.225 |
|       29 | Finley          | SAN           |             229 |     3970 |     3741 |       7924 |   2037.27 |               5.77991 |                       328 |               3865 |               3537 |                 7343 |             1922.58 |                          8.9337 |                         5.7799 |                                     -3.1538 |
|       30 | T. Parker       | SAN           |             509 |     5503 |     4994 |      10481 |   2713.70 |               9.71281 |                        48 |               2332 |               2284 |                 4786 |             1246.15 |                          2.0059 |                         9.7128 |                                      7.7069 |
|       31 | A. Miller       | DEN           |             128 |     6158 |     6030 |      11896 |   2937.33 |               2.15198 |                      -109 |               2069 |               2178 |                 4375 |             1048.67 |                         -4.9829 |                          2.152 |                                      7.1349 |
|       32 | Horry           | SAN           |             234 |     2377 |     2143 |       4641 |   1181.75 |                10.084 |                       323 |               5458 |               5135 |                10626 |             2778.10 |                          6.0794 |                         10.084 |                                      4.0046 |
|       33 | Barry           | SAN           |             197 |     2496 |     2299 |       4963 |   1258.38 |               7.93875 |                       360 |               5339 |               4979 |                10304 |             2701.47 |                          6.9876 |                         7.9387 |                                      0.9511 |
|       34 | Nene            | DEN           |              -6 |        2 |        8 |         11 |      2.55 |              -109.091 |                        25 |               8225 |               8200 |                16260 |             3983.45 |                          0.3075 |                       -109.091 |                                    -109.398 |
|       35 | Boykins         | DEN           |             -57 |     3209 |     3266 |       6360 |   1542.30 |              -1.79245 |                        76 |               5018 |               4942 |                 9911 |             2443.70 |                          1.5336 |                        -1.7925 |                                     -3.3261 |
|       36 | Najera          | DEN           |               0 |     2964 |     2964 |       5968 |   1449.48 |                     0 |                        19 |               5263 |               5244 |                10303 |             2536.52 |                          0.3688 |                              0 |                                     -0.3688 |
|       37 | Oberto          | SAN           |             -37 |      916 |      953 |       1924 |    489.82 |              -3.84615 |                       594 |               6919 |               6325 |                13343 |             3470.03 |                          8.9035 |                        -3.8462 |                                    -12.7497 |
|       38 | Van Exel        | SAN           |               1 |     1807 |     1806 |       3790 |    986.00 |             0.0527704 |                       556 |               6028 |               5472 |                11477 |             2973.85 |                          9.6889 |                         0.0528 |                                     -9.6361 |
