PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
265	Pavlovic, Sasha	CLE	1052.8667	1966	1970	2156	2079	109.6643	105.5330	4.1313	292	285	728	694	0.2961	0.7187	2903.1333	5374	5373	6067	5412	112.8954	100.7259	12.1696	782	794	2024	1858	0.2962	0.7182	-8.0383	-0.0001	0.0005
270	Hamilton, Richard	DET	2249.4000	4128	4127	4422	4420	107.1221	107.0996	0.0225	629	565	1518	1504	0.2949	0.7288	1683.6000	3017	3027	3227	3261	106.9606	107.7304	-0.7699	504	440	1107	1093	0.3156	0.7156	0.7924	-0.0207	0.0132
271	Billups, Chauncey	DEN	2678.7000	5235	5216	5909	5651	112.8749	108.3397	4.5352	714	784	1798	1760	0.2886	0.6964	1219.3000	2452	2474	2556	2545	104.2414	102.8698	1.3716	380	414	900	786	0.3259	0.6849	3.1636	-0.0373	0.0115
271	Billups, Chauncey	DET	69.8667	137	135	161	142	117.5182	105.1852	12.3331	26	12	49	37	0.4127	0.8033	3863.1333	7008	7019	7488	7539	106.8493	107.4085	-0.5591	1107	993	2576	2560	0.3019	0.7218	12.8922	0.1108	0.0815
272	Prince, Tayshaun	DET	3022.1000	5500	5492	5896	5959	107.2000	108.5033	-1.3033	845	772	1997	1992	0.2978	0.7212	910.9000	1645	1662	1753	1722	106.5653	103.6101	2.9552	288	233	628	605	0.3225	0.7294	-4.2585	-0.0247	-0.0082
273	Wallace, Ben	CLE	1313.5333	2433	2442	2808	2375	115.4131	97.2563	18.1567	387	351	911	813	0.3225	0.7219	2642.4667	4907	4901	5415	5116	110.3526	104.3869	5.9657	687	728	1841	1739	0.2832	0.7166	12.1910	0.0393	0.0053
274	Wallace, Rasheed	DET	2084.7167	3827	3801	4136	4042	108.0742	106.3404	1.7338	532	532	1431	1428	0.2714	0.7290	1848.2833	3318	3353	3513	3639	105.8770	108.5297	-2.6526	601	473	1194	1169	0.3395	0.7163	4.3864	-0.0681	0.0127
275	McDyess, Antonio	DET	1827.8167	3261	3263	3531	3604	108.2797	110.4505	-2.1708	577	441	1207	1149	0.3343	0.7324	2105.1833	3884	3891	4118	4077	106.0247	104.7803	1.2445	556	564	1418	1448	0.2774	0.7154	-3.4153	0.0569	0.0170
276	Evans, Maurice	ATL	1807.4500	3372	3399	3647	3688	108.1554	108.5025	-0.3471	514	546	1183	1186	0.3024	0.6842	2085.5500	3926	3897	4311	4136	109.8064	106.1329	3.6735	537	583	1385	1429	0.2731	0.7038	-4.0206	0.0293	-0.0196
278	Milicic, Darko	MEM	1010.5333	1903	1895	1932	1998	101.5239	105.4354	-3.9114	268	279	688	659	0.2891	0.7115	2902.4667	5459	5486	5667	6031	103.8102	109.9344	-6.1242	769	727	1794	1907	0.2874	0.7116	2.2128	0.0017	-0.0001
280	Maxiell, Jason	DET	1393.9000	2518	2543	2669	2804	105.9968	110.2635	-4.2666	454	375	885	882	0.3398	0.7024	2539.1000	4627	4611	4980	4877	107.6291	105.7688	1.8603	679	630	1740	1715	0.2836	0.7342	-6.1269	0.0562	-0.0318
281	Williams, Louis	PHI	1919.1667	3671	3623	3937	4002	107.2460	110.4609	-3.2150	619	593	1153	1243	0.3324	0.6604	2031.8333	3792	3823	4050	3979	106.8038	104.0806	2.7232	642	545	1360	1269	0.3359	0.7139	-5.9382	-0.0035	-0.0535
283	Jaric, Marko	MEM	590.3333	1090	1097	1135	1067	104.1284	97.2653	6.8632	170	158	393	352	0.3257	0.7132	3322.6667	6272	6284	6464	6962	103.0612	110.7893	-7.7281	867	848	2089	2214	0.2814	0.7113	14.5913	0.0443	0.0019
284	Przybilla, Joel	POR	1935.4167	3483	3501	3877	3588	111.3121	102.4850	8.8271	571	464	1286	1173	0.3274	0.7349	1982.5833	3617	3611	4170	4016	115.2889	111.2157	4.0732	679	496	1212	1194	0.3625	0.7096	4.7539	-0.0351	0.0253
285	Garnett, Kevin	BOS	1641.8000	3131	3138	3493	3075	111.5618	97.9924	13.5694	387	428	1216	989	0.2813	0.7397	2094.2000	3906	3913	4242	4110	108.6022	105.0345	3.5677	593	556	1382	1304	0.3126	0.7131	10.0017	-0.0313	0.0266
286	Miles, Darius	MEM	294.5167	553	553	519	592	93.8517	107.0524	-13.2007	77	86	183	192	0.2862	0.6803	3618.4833	6809	6828	7080	7437	103.9800	108.9192	-4.9391	960	920	2299	2374	0.2879	0.7142	-8.2616	-0.0017	-0.0339
287	Randolph, Zach	LAC	1368.8500	2646	2615	2782	2897	105.1398	110.7839	-5.6441	374	356	913	944	0.2838	0.7195	2559.1500	4931	4944	4925	5514	99.8783	111.5291	-11.6508	682	806	1654	1861	0.2682	0.6724	6.0067	0.0156	0.0471
287	Randolph, Zach	NYK	352.0000	729	725	753	768	103.2922	105.9310	-2.6389	98	101	252	291	0.2519	0.7139	3465.0000	6988	6991	7564	7727	108.2427	110.5278	-2.2851	975	998	2383	2592	0.2733	0.7048	-0.3538	-0.0214	0.0091
288	Szczerbiak, Wally	CLE	1526.7500	2831	2839	3100	2958	109.5019	104.1916	5.3103	400	428	1055	1024	0.2809	0.7114	2429.2500	4509	4504	5123	4533	113.6172	100.6439	12.9733	674	651	1697	1528	0.3061	0.7227	-7.6630	-0.0252	-0.0113
289	Telfair, Sebastian	MIN	2094.4667	4007	3996	4358	4438	108.7597	111.0611	-2.3014	673	538	1392	1402	0.3243	0.7212	1866.5333	3587	3591	3661	3984	102.0630	110.9440	-8.8810	540	441	1257	1318	0.2906	0.7403	6.5796	0.0337	-0.0191
292	Hassell, Trenton	NJN	1094.1333	2041	2067	2117	2318	103.7237	112.1432	-8.4195	295	315	721	763	0.2788	0.6959	2871.8667	5405	5383	5927	5926	109.6577	110.0873	-0.4296	756	752	1897	1958	0.2786	0.7161	-7.9899	0.0002	-0.0202
293	McCants, Rashad	MIN	635.8333	1234	1235	1211	1357	98.1361	109.8785	-11.7424	207	154	402	481	0.3009	0.7230	3325.1667	6360	6352	6808	7065	107.0440	111.2248	-4.1808	1006	825	2247	2239	0.3100	0.7314	-7.5616	-0.0091	-0.0084
293	McCants, Rashad	SAC	464.5000	934	929	984	1017	105.3533	109.4726	-4.1192	116	157	297	345	0.2516	0.6542	3516.5000	6916	6913	7264	7949	105.0318	114.9863	-9.9544	947	1044	2250	2426	0.2808	0.6831	5.8352	-0.0292	-0.0289
295	Dixon, Juan	WAS	815.8167	1577	1575	1618	1760	102.5999	111.7460	-9.1462	209	240	554	556	0.2732	0.6977	3029.1833	5757	5749	6076	6515	105.5411	113.3241	-7.7830	905	815	1908	2056	0.3056	0.7007	-1.3632	-0.0324	-0.0030
296	Jack, Jarrett	IND	2716.4000	5489	5517	5984	6017	109.0180	109.0629	-0.0449	771	755	1954	1950	0.2834	0.7213	1249.6000	2490	2480	2633	2691	105.7430	108.5081	-2.7651	343	356	875	909	0.2740	0.7108	2.7202	0.0094	0.0105
297	Ratliff, Theo	PHI	578.5167	1079	1083	1179	1210	109.2678	111.7267	-2.4588	171	189	353	362	0.3208	0.6513	3372.4833	6384	6363	6808	6771	106.6416	106.4121	0.2295	1090	949	2160	2150	0.3364	0.6948	-2.6883	-0.0156	-0.0435
298	Carter, Anthony	DEN	1771.0000	3513	3537	3788	3734	107.8281	105.5697	2.2584	549	564	1256	1122	0.3285	0.6901	2127.0000	4174	4153	4677	4462	112.0508	107.4404	4.6104	545	634	1442	1424	0.2768	0.6946	-2.3520	0.0517	-0.0045
300	Madsen, Mark	MIN	115.6833	234	229	241	229	102.9915	100.0000	2.9915	43	26	83	88	0.3282	0.7615	3845.3167	7360	7358	7778	8193	105.6793	111.3482	-5.6688	1170	953	2566	2632	0.3077	0.7292	8.6603	0.0205	0.0323
302	Ming, Yao	HOU	2454.0167	4618	4577	5082	4642	110.0476	101.4201	8.6275	672	688	1807	1547	0.3028	0.7242	1314.9833	2510	2538	2603	2744	103.7052	108.1166	-4.4114	373	333	878	917	0.2891	0.7250	13.0389	0.0137	-0.0008
304	Howard, Juwan	CHA	449.6833	793	798	804	903	101.3871	113.1579	-11.7708	147	115	256	253	0.3675	0.6900	3488.3167	6471	6468	6779	6794	104.7597	105.0402	-0.2805	956	939	2249	2226	0.3004	0.7055	-11.4903	0.0671	-0.0155
304	Howard, Juwan	DEN	22.2333	47	48	38	37	80.8511	77.0833	3.7677	8	11	19	13	0.3810	0.6333	3875.7667	7640	7642	8427	8159	110.3010	106.7652	3.5358	1086	1187	2679	2533	0.3001	0.6930	0.2319	0.0809	-0.0597
305	McGrady, Tracy	HOU	1075.1167	2050	2045	2189	2105	106.7805	102.9340	3.8465	288	309	762	755	0.2761	0.7115	2693.8833	5078	5070	5496	5281	108.2316	104.1617	4.0699	757	712	1923	1709	0.3070	0.7298	-0.2234	-0.0309	-0.0183
306	Swift, Stromile	NJN	63.9167	121	117	115	114	95.0413	97.4359	-2.3946	11	18	42	42	0.2075	0.7000	3902.0833	7325	7333	7929	8130	108.2457	110.8687	-2.6229	1040	1049	2576	2679	0.2796	0.7106	0.2283	-0.0721	-0.0106
306	Swift, Stromile	PHX	120.5000	243	248	258	268	106.1728	108.0645	-1.8917	56	43	86	80	0.4118	0.6667	3830.5000	7684	7680	8716	8548	113.4305	111.3021	2.1284	1001	1168	2626	2431	0.2917	0.6921	-4.0201	0.1201	-0.0254
308	Alston, Rafer	HOU	1497.7500	2903	2869	3119	2997	107.4406	104.4615	2.9791	433	398	1072	1022	0.2976	0.7293	2271.2500	4225	4246	4566	4389	108.0710	103.3679	4.7031	612	623	1613	1442	0.2980	0.7214	-1.7240	-0.0004	0.0079
308	Alston, Rafer	ORL	855.9333	1661	1671	1789	1706	107.7062	102.0946	5.6116	210	247	623	624	0.2518	0.7161	3090.0667	5913	5934	6497	6031	109.8765	101.6346	8.2419	804	845	2294	2147	0.2725	0.7308	-2.6303	-0.0207	-0.0147
311	Bowen, Ryan	NOH	218.9833	406	400	419	439	103.2020	109.7500	-6.5480	50	63	129	150	0.2500	0.6719	3588.0167	6580	6592	7186	7027	109.2097	106.5989	2.6108	885	925	2379	2352	0.2734	0.7200	-9.1588	-0.0234	-0.0481
312	Mutombo, Dikembe	HOU	96.3000	175	174	191	191	109.1429	109.7701	-0.6273	32	39	58	57	0.3596	0.5979	3672.7000	6953	6941	7494	7195	107.7808	103.6594	4.1214	1013	982	2627	2407	0.2962	0.7279	-4.7487	0.0634	-0.1300
313	Arenas, Gilbert	WAS	62.6667	118	116	134	132	113.5593	113.7931	-0.2338	15	15	46	42	0.2632	0.7541	3782.3333	7216	7208	7560	8143	104.7672	112.9717	-8.2045	1099	1040	2416	2570	0.2995	0.6991	7.9707	-0.0363	0.0550
