PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
599	Redick, J.J.	ORL	268.8667	487	474	519	466	106.5708	98.3122	8.2586	94	96	181	170	0.3561	0.6534	408.1333	733	743	833	765	113.6426	102.9610	10.6816	128	121	277	252	0.3368	0.6960	-2.4230	0.0193	-0.0426
606	Roy, Brandon	POR	82.9167	151	149	140	175	92.7152	117.4497	-24.7344	26	29	44	66	0.2826	0.6027	205.0833	373	374	418	445	112.0643	118.9840	-6.9196	77	76	126	130	0.3720	0.6238	-17.8148	-0.0894	-0.0211
607	Aldridge, LaMarcus	POR	228.9333	404	404	432	471	106.9307	116.5842	-9.6535	84	74	137	154	0.3529	0.6493	59.0667	120	119	126	149	105.0000	125.2101	-20.2101	19	31	33	42	0.3115	0.5156	10.5566	0.0414	0.1337
614	Parker, Anthony	CLE	330.8667	651	654	696	699	106.9124	106.8807	0.0317	98	110	238	228	0.3006	0.6839	197.1333	369	371	406	389	110.0271	104.8518	5.1753	60	75	137	130	0.3158	0.6462	-5.1436	-0.0152	0.0377
622	Mason, Roger	SAS	60.9000	124	122	116	126	93.5484	103.2787	-9.7303	16	19	47	50	0.2424	0.7121	419.1000	787	788	845	869	107.3698	110.2792	-2.9094	143	135	281	286	0.3333	0.6755	-6.8209	-0.0909	0.0366
629	Millsap, Paul	UTA	323.3833	634	640	724	752	114.1956	117.5000	-3.3044	120	126	199	219	0.3540	0.6123	156.6167	310	309	347	341	111.9355	110.3560	1.5795	58	50	106	99	0.3694	0.6795	-4.8839	-0.0154	-0.0672
653	Amundson, Louis	PHX	193.5333	359	368	394	388	109.7493	105.4348	4.3145	91	72	130	132	0.4081	0.6436	571.0333	1081	1082	1309	1240	121.0916	114.6026	6.4890	179	193	377	352	0.3371	0.6614	-2.1745	0.0710	-0.0178
655	Morris, Randolph	ATL	10.0167	18	19	26	17	144.4444	89.4737	54.9708	6	7	10	5	0.5455	0.5882	517.9833	928	926	958	1042	103.2328	112.5270	-9.2942	188	177	316	347	0.3514	0.6410	64.2650	0.1941	-0.0528
660	Mahinmi, Ian	SAS	18.5833	38	39	28	33	73.6842	84.6154	-10.9312	7	5	17	17	0.2917	0.7727	461.4167	873	871	933	962	106.8729	110.4478	-3.5749	152	149	311	319	0.3227	0.6761	-7.3563	-0.0310	0.0966
669	Fesenko, Kyrylo	UTA	180.9833	355	358	395	379	111.2676	105.8659	5.4017	70	59	125	115	0.3784	0.6793	299.0167	589	591	676	714	114.7708	120.8122	-6.0414	108	117	180	203	0.3473	0.6061	11.4431	0.0311	0.0732
675	Davis, Glen	BOS	482.6000	876	888	908	909	103.6530	102.3649	1.2881	143	145	313	308	0.3171	0.6834	674.4000	1272	1260	1345	1278	105.7390	101.4286	4.3104	220	244	460	457	0.3250	0.6534	-3.0223	-0.0079	0.0300
682	Moon, Jamario	CLE	113.1000	208	222	225	235	108.1731	105.8559	2.3172	36	38	79	79	0.3130	0.6752	414.9000	812	803	877	853	108.0049	106.2267	1.7783	122	147	296	279	0.3042	0.6682	0.5389	0.0088	0.0070
686	Noah, Joakim	CHI	188.1833	369	369	390	423	105.6911	114.6341	-8.9431	72	50	128	140	0.3396	0.7191	51.8167	97	96	95	108	97.9381	112.5000	-14.5619	12	16	37	40	0.2308	0.6981	5.6188	0.1088	0.0210
689	Afflalo, Arron	DEN	120.3000	244	245	286	291	117.2131	118.7755	-1.5624	30	32	74	76	0.2830	0.6981	167.7000	337	331	370	372	109.7923	112.3867	-2.5944	75	67	112	112	0.4011	0.6257	1.0320	-0.1181	0.0724
695	Horford, Al	ATL	388.3667	687	678	738	739	107.4236	108.9971	-1.5735	135	127	248	264	0.3383	0.6613	139.6333	259	267	246	320	94.9807	119.8502	-24.8695	59	57	78	88	0.4014	0.5778	23.2960	-0.0631	0.0835
697	West, Mario	ATL	20.3500	41	44	49	54	119.5122	122.7273	-3.2151	6	8	12	9	0.4000	0.6000	507.6500	905	901	935	1005	103.3149	111.5427	-8.2278	188	176	314	343	0.3540	0.6408	5.0127	0.0460	-0.0408
699	Dudley, Jared	PHX	376.7667	708	717	862	771	121.7514	107.5314	14.2200	142	129	248	235	0.3767	0.6578	387.8000	732	733	841	857	114.8907	116.9168	-2.0261	128	136	259	249	0.3395	0.6557	16.2461	0.0372	0.0021
700	Anthony, Joel	MIA	78.5833	147	148	173	167	117.6871	112.8378	4.8492	23	25	51	40	0.3651	0.6711	161.4167	305	304	265	312	86.8852	102.6316	-15.7463	50	41	102	125	0.2857	0.7133	20.5955	0.0794	-0.0422
702	Gortat, Marcin	ORL	212.2333	386	384	425	386	110.1036	100.5208	9.5828	66	68	140	137	0.3251	0.6731	464.7667	834	833	927	845	111.1511	101.4406	9.7105	156	149	318	285	0.3537	0.6809	-0.1277	-0.0286	-0.0078
