PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
1	Howard, Josh	DAL	827.0667	1609	1608	1743	1776	108.3282	110.4478	-2.1196	230	267	575	552	0.2941	0.6829	3148.9333	6069	6068	6621	6365	109.0954	104.8945	4.2009	927	1060	2174	2176	0.2987	0.6722	-6.3205	-0.0046	0.0107
1	Howard, Josh	WAS	90.7833	168	170	216	182	128.5714	107.0588	21.5126	36	31	60	50	0.4186	0.6593	3875.2167	7420	7392	7676	8102	103.4501	109.6050	-6.1548	1333	1352	2582	2636	0.3359	0.6563	27.6674	0.0827	0.0030
2	Thomas, Kurt	MIL	1034.5833	1971	1959	2045	2101	103.7544	107.2486	-3.4942	347	320	686	776	0.3090	0.6819	2865.4167	5489	5507	5772	5605	105.1558	101.7796	3.3762	1004	833	1962	2077	0.3259	0.7020	-6.8704	-0.0169	-0.0201
3	Dampier, Erick	DAL	1280.2333	2461	2460	2706	2551	109.9553	103.6992	6.2561	377	411	959	868	0.3028	0.7000	2695.7667	5217	5216	5658	5590	108.4531	107.1702	1.2829	780	916	1790	1860	0.2955	0.6615	4.9732	0.0073	0.0385
4	Marion, Shawn	DAL	2385.0167	4594	4605	5069	4833	110.3396	104.9511	5.3884	703	760	1674	1598	0.3055	0.6878	1590.9833	3084	3071	3295	3308	106.8418	107.7174	-0.8756	454	567	1075	1130	0.2866	0.6547	6.2640	0.0189	0.0331
5	Nowitzki, Dirk	DAL	3038.8500	5875	5831	6472	6129	110.1617	105.1106	5.0511	853	1017	2139	2067	0.2921	0.6778	937.1500	1803	1845	1892	2012	104.9362	109.0515	-4.1153	304	310	610	661	0.3150	0.6630	9.1664	-0.0229	0.0148
6	Terry, Jason	DAL	2539.5333	4904	4875	5357	5176	109.2374	106.1744	3.0630	765	864	1731	1762	0.3027	0.6671	1436.4667	2774	2801	3007	2965	108.3994	105.8551	2.5444	392	463	1018	966	0.2887	0.6874	0.5186	0.0140	-0.0203
7	Bell, Raja	CHA	157.4667	282	284	303	263	107.4468	92.6056	14.8412	69	38	108	102	0.4035	0.7397	3770.5333	7076	7081	7412	7347	104.7484	103.7565	0.9919	1297	1222	2536	2413	0.3496	0.6748	13.8493	0.0539	0.0649
7	Bell, Raja	GSW	23.1333	47	46	46	58	97.8723	126.0870	-28.2146	6	12	14	18	0.2500	0.5385	3922.8667	8227	8230	8876	9159	107.8887	111.2880	-3.3993	1142	1519	2557	2976	0.2773	0.6273	-24.8153	-0.0273	-0.0888
8	Nash, Steve	PHX	2660.4000	5361	5346	6300	5923	117.5154	110.7931	6.7223	837	1059	1949	1730	0.3261	0.6479	1285.6000	2471	2506	2739	2714	110.8458	108.3001	2.5457	494	512	854	821	0.3757	0.6252	4.1766	-0.0496	0.0227
