title	author	date published	link to source	read
dune	herbert	1965	http://www.amazon.com/Dune-Chronicles-Book-1/dp/0441172717	1
solitude	marquez	1967	http://www.amazon.com/One-Hundred-Years-Solitude-P-S/dp/0060883286	1
master margarita	bulgakov	1967	http://www.amazon.com/The-Master-Margarita-Mikhail-Bulgakov/dp/0679760806	0
godfather	puzo	1969	http://www.amazon.com/The-Godfather-Signet-Mario-Puzo/dp/0451167716	0
fear & loathing	thompson	1971	http://www.amazon.com/Fear-Loathing-Las-Vegas-American/dp/0679785892	1
princess bride	goldman	1973	http://www.amazon.com/The-Princess-Bride-Morgensterns-Anniversary/dp/034543014X	1
gravity's rainbow	pynchon	1973	http://www.amazon.com/Gravitys-Rainbow-Penguin-Classics-Edition/dp/0143039946	1
shogun	clavell	1975	http://www.amazon.com/Shogun-James-Clavell/dp/0440178002	0
bloody chamber	carter	1979	http://www.amazon.com/The-Bloody-Chamber-Other-Stories/dp/014017821X	0
hhgttg	adams	1979	http://www.amazon.com/Hitchhikers-Guide-Galaxy-Douglas-Adams/dp/0345391802	1
blood meridian 	mccarthy	1981	http://www.amazon.com/Blood-Meridian-Evening-Redness-West/dp/0679728759	0
midnight's children	rushdie	1981	http://www.amazon.com/Midnights-Children-Salman-Rushdie/dp/0140132708	0
shawshank 	king	1982	http://www.amazon.com/Different-Seasons-Signet-Stephen-King/dp/0451167538/	0
house spirits	allende	1982	http://www.amazon.com/The-House-Spirits-Isabel-Allende/dp/0553273914	0
cholera	marquez	1985	http://www.amazon.com/Love-Cholera-Gabriel-Garcia-Marquez/dp/140003468X	1
lonesome dove	mcmurthy 	1985	http://www.amazon.com/Lonesome-Dove-Larry-McMurtry/dp/067168390X	0
handmaid's tale	atwood	1985	http://www.amazon.com/Handmaids-Tale-Margaret-Eleanor-Atwood/dp/1556902166	0
watchmen	moore	1987	http://www.amazon.com/Watchmen-Alan-Moore/dp/0930289234/	1
progress love	munro	2005	runaway	1
cladius	graves	1989	http://www.amazon.com/Claudius-Autobiography-Tiberius-Murdered-International/dp/067972477X	0
things carried	o'brien	1990	http://www.amazon.com/The-Things-They-Carried-OBrien/dp/0618706410	1
stand	king	1991	http://www.amazon.com/The-Stand-Expanded-Edition-Complete/dp/0451169530	0
game thrones	martin	1995	http://www.amazon.com/Game-Thrones-Song-Fire-ebook/dp/B000QCS8TW/	0
wind-up bird	murakami	1997	http://www.amazon.com/The-Wind-Up-Bird-Chronicle-Novel/dp/0679775439	1
american gods	gaiman	2001	http://www.amazon.com/American-Gods-Novel-Neil-Gaiman/dp/0060558121	1
rebecca	du marier	1938	http://www.amazon.com/Rebecca-Daphne-Du-Maurier/dp/0380730405	0
gone with wind	mitchell 	1936	http://www.amazon.com/Gone-With-Wind-Margaret-Mitchell/dp/068483068X	0
count monte cristo	dumas	1845	http://www.gutenberg.org/ebooks/1184	0
jane eyre	bronte	1847	http://www.gutenberg.org/ebooks/1260	0
farenheight 451	bradbury	1953	http://www.amazon.com/Fahrenheit-451-Novel-Ray-Bradbury/dp/1451673310	1
canterbury tales 	chaucer (ackryod) 	1400	http://www.amazon.com/The-Canterbury-Tales-A-Retelling/dp/0670021229/ref=pd_sim_b_5	0
invisible man	ellison	1952	http://www.amazon.com/Invisible-Man-Novel-Ralph-Ellison/dp/0375507914	0
night	weisel	1955	http://www.amazon.com/Night-Oprahs-Book-Club-Wiesel/dp/0374500010/ref=pd_sim_b_1	0
sawyer	twain			1
huck finn	twain			1
catch in rye	salinger			1
bell jar	plath			0
moby dick	melville			1
unbearable lightness	kundera	1982	http://www.amazon.com/Unbearable-Lightness-Being-Milan-Kundera/dp/0060932139	1
scarlet letter	hawthorne			0.25
gilgamesh	middle east			0
satyricon	petronius	60	http://archive.org/stream/trimalchiosdinne00petr/trimalchiosdinne00petr_djvu.txt; http://www.amazon.com/The-Satyricon-Meridian-classics-Petronius/dp/0452010055	0
miserables	hugo		have on kindle	0.25
